target_A,L_nH,Ron,Roff,step,status,pass,peak_V,Ioff1_A,Ion2_A,Ioff2_A,name,error
15,5,1.5,3.5,500p,ok,False,102.44305405503891,15.007785986473223,14.78086959016206,18.4540640114752,I15_L5_on1.5_off3.5_500p_search,
15,5,2.0,3.0,500p,ok,False,100.97320848100286,14.999937772647662,14.767649959173339,18.431412186123364,I15_L5_on2_off3_500p_search,
15,5,2.5,2.5,500p,ok,True,99.73379728419613,14.992145238509632,14.75456970840125,18.408819138555643,I15_L5_on2.5_off2.5_500p_search,
15,5,2.5,2.5,250p,ok,True,99.7339874314827,14.992167013472928,14.754530073101996,18.40868405708226,I15_L5_on2.5_off2.5_250p_verification,
15,5,2.5,2.5,125p,ok,False,100.13897830794406,14.992218118093785,14.754493394588925,18.40890601320471,I15_L5_on2.5_off2.5_125p_additional_check,
15,5,3.0,2.0,500p,ok,True,97.891426141543,14.984397795690366,14.741563660791387,18.38641246050349,I15_L5_on3_off2_500p_search,
15,5,3.0,2.0,250p,ok,True,99.10196198710554,14.984405241500141,14.741620599244005,18.38662448692995,I15_L5_on3_off2_250p_verification,
15,5,3.0,2.0,125p,ok,False,101.13840800762053,14.984469397532543,14.741700218301068,18.38379510483552,I15_L5_on3_off2_125p_additional_check,
15,5,3.5,1.5,500p,ok,True,99.17331832769963,14.976683516334377,14.728953661020029,18.364607630141997,I15_L5_on3.5_off1.5_500p_search,
15,5,3.5,1.5,250p,ok,False,113.14738203754388,14.976682339798288,14.728874997940107,18.366060241601062,I15_L5_on3.5_off1.5_250p_verification,
15,5,4.0,1.0,500p,ok,True,99.65757579968555,14.969001879893845,14.716360212489484,18.34275081956226,I15_L5_on4_off1_500p_search,
15,5,4.0,1.0,250p,ok,True,99.50747892685517,14.968995983995743,14.716014157282354,18.342371659352757,I15_L5_on4_off1_250p_verification,
15,5,4.0,1.0,125p,ok,True,99.5129966580623,14.969065430047868,14.716190876384262,18.342373508841273,I15_L5_on4_off1_125p_additional_check,
15,5,4.5,1.0,500p,ok,True,97.12193350600101,14.961344614046471,14.708590953393005,18.32579970033548,I15_L5_on4.5_off1_500p_neighbour,
15,5,4.0,1.5,500p,ok,True,97.26332914954747,14.969035856432834,14.721156969268238,18.3475633993519,I15_L5_on4_off1.5_500p_neighbour,
30,5,0.5,0.5,500p,ok,False,120.46582823099041,30.0216922403821,29.72737227966745,33.38177921476846,I30_L5_on0.5_off0.5_500p_search,
30,5,0.5,1.0,500p,ok,False,122.45538384531875,30.021692141876162,29.732338039441082,33.386636702412865,I30_L5_on0.5_off1_500p_search,
30,5,1.0,0.5,500p,ok,False,121.00853357800835,30.01375505493493,29.71933071771586,33.36462768549215,I30_L5_on1_off0.5_500p_search,
30,5,0.5,1.5,500p,ok,False,118.78527565131995,30.021831033685505,29.73774529066013,33.39193039743083,I30_L5_on0.5_off1.5_500p_search,
30,5,1.0,1.0,500p,ok,False,122.30630811268084,30.013754245417577,29.724414932319252,33.36963786504033,I30_L5_on1_off1_500p_search,
30,5,1.5,0.5,500p,ok,False,119.96861750774053,30.00589463487693,29.711571140431253,33.34813489981183,I30_L5_on1.5_off0.5_500p_search,
30,5,0.5,2.0,500p,ok,False,110.04082453823938,30.02183880421981,29.74314986358718,33.39730651045956,I30_L5_on0.5_off2_500p_search,
30,5,1.0,1.5,500p,ok,True,91.64233154606262,30.01375539316632,29.72978578916689,33.37214485299808,I30_L5_on1_off1.5_500p_search,
30,5,1.0,1.5,250p,ok,False,118.71239120134183,30.013810807012085,29.729721129462433,33.3749871429005,I30_L5_on1_off1.5_250p_verification,
30,5,1.5,1.0,500p,ok,False,121.1029028439056,30.005894756251866,29.716538657135295,33.35312539126815,I30_L5_on1.5_off1_500p_search,
30,5,2.0,0.5,500p,ok,False,120.72163101566025,29.998108571038205,29.70374012102153,33.33152079293978,I30_L5_on2_off0.5_500p_search,
30,5,0.5,2.5,500p,ok,False,102.42384009286775,30.021840411357374,29.74866171634661,33.402859405774294,I30_L5_on0.5_off2.5_500p_search,
30,5,1.0,2.0,500p,ok,False,111.29446136360446,30.013754801518154,29.7350735172354,33.38005507653038,I30_L5_on1_off2_500p_search,
30,5,1.5,1.5,500p,ok,False,114.55522675238142,30.005894533494608,29.721825954114497,33.35839971374376,I30_L5_on1.5_off1.5_500p_search,
30,5,2.0,1.0,500p,ok,False,119.1788845502184,29.998177620598387,29.708841630122937,33.336630587561395,I30_L5_on2_off1_500p_search,
30,5,2.5,0.5,500p,ok,False,118.45286379606075,29.990381632140878,29.696000694196083,33.31489900033484,I30_L5_on2.5_off0.5_500p_search,
30,5,0.5,3.0,500p,ok,False,105.56550881298466,30.02169199942605,29.754092015721874,33.4083801004162,I30_L5_on0.5_off3_500p_search,
30,5,1.0,2.5,500p,ok,False,102.85827149597887,30.01375594850624,29.740578636828815,33.3854768025432,I30_L5_on1_off2.5_500p_search,
30,5,1.5,2.0,500p,ok,True,92.26866441982698,30.005986001109648,29.727318289145373,33.36033022299759,I30_L5_on1.5_off2_500p_search,
30,5,1.5,2.0,250p,ok,False,107.0076296335387,30.005960100674375,29.72729939604691,33.3638757984403,I30_L5_on1.5_off2_250p_verification,
30,5,2.0,1.5,500p,ok,True,90.99751474095412,29.998109345109103,29.71404046068417,33.33822056193408,I30_L5_on2_off1.5_500p_search,
30,5,2.0,1.5,250p,ok,False,113.36194595169232,29.998144663728457,29.714072900096383,33.341794673115835,I30_L5_on2_off1.5_250p_verification,
30,5,2.5,1.0,500p,ok,False,115.22720890195696,29.990381534250556,29.70107312954159,33.31992011225769,I30_L5_on2.5_off1_500p_search,
30,5,3.0,0.5,500p,ok,False,117.84130943103722,29.982698027020728,29.688321354597885,33.29815222442556,I30_L5_on3_off0.5_500p_search,
30,5,0.5,3.5,500p,ok,False,110.61721940175049,30.021692122116427,29.759714487210108,33.41405461236542,I30_L5_on0.5_off3.5_500p_search,
30,5,1.0,3.0,500p,ok,False,103.85112492895789,30.013755178965624,29.74616385653016,33.39106261224121,I30_L5_on1_off3_500p_search,
30,5,1.5,2.5,500p,ok,False,101.70772336898996,30.005894259003224,29.73273724883703,33.3691146134827,I30_L5_on1.5_off2.5_500p_search,
30,5,2.0,2.0,500p,ok,False,103.62869694929005,29.99812481273549,29.71946897662038,33.347277649966465,I30_L5_on2_off2_500p_search,
