Freq.	I(C1)	I(C2)	I(C3)	I(C4)
9.30028581771636e+02	-2.49688985791329e-01,3.81437795460783e-05	-2.49686623649849e-01,-9.96353523733015e-05	-2.49687615887059e-01,-3.33545365345957e-05	-2.49688912154400e-01,9.92293811261203e-05
9.40028781575632e+02	-2.49689009653111e-01,3.85657308866588e-05	-2.49686596432134e-01,-1.00696231822724e-04	-2.49687610125266e-01,-3.37021128644043e-05	-2.49688934418654e-01,1.00308660642018e-04
9.50028981379628e+02	-2.49689033770346e-01,3.89875754961693e-05	-2.49686568922947e-01,-1.01757261365447e-04	-2.49687604301735e-01,-3.40498195812721e-05	-2.49688956921163e-01,1.01387849503423e-04
9.60029181183624e+02	-2.49689058143081e-01,3.94093171889948e-05	-2.49686541122315e-01,-1.02818437649540e-04	-2.49687598416500e-01,-3.43976531231133e-05	-2.49688979661971e-01,1.02466951696357e-04
9.70029380987620e+02	-2.49689082771313e-01,3.98309597626095e-05	-2.49686513030214e-01,-1.03879757340289e-04	-2.49687592469546e-01,-3.47456099450225e-05	-2.49689002641069e-01,1.03545971189550e-04
9.80029580791617e+02	-2.49689107655061e-01,4.02525067450020e-05	-2.49686484646643e-01,-1.04941217372490e-04	-2.49687586460882e-01,-3.50936867713759e-05	-2.49689025858474e-01,1.04624911682618e-04
9.90029780595613e+02	-2.49689132794309e-01,4.06739616534073e-05	-2.49686455971566e-01,-1.06002814691660e-04	-2.49687580390477e-01,-3.54418803375107e-05	-2.49689049314166e-01,1.05703776864191e-04
1.00002998039961e+03	-2.49689158189090e-01,4.10953276226132e-05	-2.49686427004995e-01,-1.07064546625744e-04	-2.49687574258354e-01,-3.57901877610916e-05	-2.49689073008174e-01,1.06782570040569e-04
1.01003018020360e+03	-2.49689183839411e-01,4.15166079821784e-05	-2.49686397746915e-01,-1.08126410308132e-04	-2.49687568064508e-01,-3.61386059651365e-05	-2.49689096940501e-01,1.07861294712928e-04
1.02003038000760e+03	-2.49689209745243e-01,4.19378057058869e-05	-2.49686368197277e-01,-1.09188403227892e-04	-2.49687561808896e-01,-3.64871322284070e-05	-2.49689121111116e-01,1.08939954026561e-04
1.03003057981160e+03	-2.49689235906655e-01,4.23589237615210e-05	-2.49686338356128e-01,-1.10250522880208e-04	-2.49687555491576e-01,-3.68357638356625e-05	-2.49689145520082e-01,1.10018551120757e-04
1.04003077961559e+03	-2.49689262323616e-01,4.27799649559166e-05	-2.49686308223415e-01,-1.11312766921296e-04	-2.49687549112502e-01,-3.71844982327870e-05	-2.49689170167363e-01,1.11097088973859e-04
1.05003097941959e+03	-2.49689288996173e-01,4.32009320482140e-05	-2.49686277799163e-01,-1.12375133055022e-04	-2.49687542671711e-01,-3.75333329131977e-05	-2.49689195053006e-01,1.12175570516685e-04
1.06003117922359e+03	-2.49689315924277e-01,4.36218276584380e-05	-2.49686247083302e-01,-1.13437619124397e-04	-2.49687536169140e-01,-3.78822655096598e-05	-2.49689220176955e-01,1.13253998540850e-04
1.07003137902758e+03	-2.49689343107989e-01,4.40426542879121e-05	-2.49686216075870e-01,-1.14500223091395e-04	-2.49687529604836e-01,-3.82312937734333e-05	-2.49689245539268e-01,1.14332375719176e-04
1.08003157883158e+03	-2.49689370547304e-01,4.44634144406422e-05	-2.49686184776838e-01,-1.15562942914956e-04	-2.49687522978782e-01,-3.85804154532553e-05	-2.49689271139935e-01,1.15410704727432e-04
1.09003177863557e+03	-2.49689398242223e-01,4.48841105150108e-05	-2.49686153186187e-01,-1.16625776660159e-04	-2.49687516290965e-01,-3.89296284034738e-05	-2.49689296978955e-01,1.16488988135520e-04
