Freq.	I(C1)	I(C2)	I(C3)	I(C4)
8.30026583731675e+02	9.87658746634428e-03,-4.19847155909071e-03	9.87794028447718e-03,-4.22171328703786e-03	9.87390479224493e-03,-4.10564887848731e-03	9.87376554430096e-03,-4.06491676302630e-03
8.40026783535671e+02	1.01256744001051e-02,-4.25790068208683e-03	1.01270595333887e-02,-4.28143318959729e-03	1.01229240796046e-02,-4.16391009731738e-03	1.01227826619360e-02,-4.12265661750330e-03
8.50026983339667e+02	1.03782292600911e-02,-4.31767468106085e-03	1.03796470710612e-02,-4.34149837543009e-03	1.03754103536797e-02,-4.22251430971893e-03	1.03752668020194e-02,-4.18073830546975e-03
8.60027183143663e+02	1.06342707918090e-02,-4.37779938362242e-03	1.06357216420222e-02,-4.40191467828414e-03	1.06313823551102e-02,-4.28146731454159e-03	1.06312367076692e-02,-4.23916760822088e-03
8.70027382947659e+02	1.08938180527788e-02,-4.43828068826481e-03	1.08953023027939e-02,-4.46268800284204e-03	1.08908591364763e-02,-4.34077498126570e-03	1.08907114339909e-02,-4.29795037753423e-03
8.80027582751655e+02	1.11568904162097e-02,-4.49912456583669e-03	1.11584084255692e-02,-4.52382432619380e-03	1.11538600659746e-02,-4.40044325146927e-03	1.11537103517543e-02,-4.35709253713396e-03
8.90027782555652e+02	1.14235075747528e-02,-4.56033706104147e-03	1.14250597019638e-02,-4.58532969933717e-03	1.14204048311696e-02,-4.46047814032271e-03	1.14202531511454e-02,-4.41660008418263e-03
9.00027982359648e+02	1.16936895443283e-02,-4.62192429396609e-03	1.16952761468431e-02,-4.64721024870738e-03	1.16905134428209e-02,-4.52088573811251e-03	1.16903598455944e-02,-4.47647909080220e-03
9.10028182163644e+02	1.19674566680318e-02,-4.68389246163893e-03	1.19690781022287e-02,-4.70947217773603e-03	1.19642062387887e-02,-4.58167221179433e-03	1.19640507756828e-02,-4.53673570562423e-03
9.20028381967640e+02	1.22448296201190e-02,-4.74624783961854e-03	1.22464862412821e-02,-4.77212176844082e-03	1.22415038880175e-02,-4.64284380657666e-03	1.22413466131271e-02,-4.59737615537056e-03
9.30028581771636e+02	1.25258294100732e-02,-4.80899678361238e-03	1.25275215723723e-02,-4.83516538304535e-03	1.25224273946036e-02,-4.70440684753436e-03	1.25222683648472e-02,-4.65840674646403e-03
9.40028781575632e+02	1.28104773867516e-02,-4.87214573112910e-03	1.28122054432215e-02,-4.89860946563235e-03	1.28069981019403e-02,-4.76636774125581e-03	1.28068373771132e-02,-4.71983386667249e-03
9.50028981379628e+02	1.30987952426193e-02,-4.93570120316226e-03	1.31005595451392e-02,-4.96246054382852e-03	1.30952376969519e-02,-4.82873297752130e-03	1.30950753397793e-02,-4.78166398678424e-03
9.60029181183624e+02	1.33908050180658e-02,-4.99966980590806e-03	1.33926059173377e-02,-5.02672523052330e-03	1.33871682144089e-02,-4.89150913101539e-03	1.33870042906006e-02,-4.84390366231728e-03
9.70029380987620e+02	1.36865291058118e-02,-5.06405823251711e-03	1.36883669513393e-02,-5.09141022562166e-03	1.36828120413345e-02,-4.95470286307315e-03	1.36826466196402e-02,-4.90655953526232e-03
9.80029580791617e+02	1.39859902554018e-02,-5.12887326488206e-03	1.39878653954676e-02,-5.15652231783296e-03	1.39821919214965e-02,-5.01832092346231e-03	1.39820250737622e-02,-4.96963833586190e-03
