Freq.	I(C1)	I(C2)	I(C3)	I(C4)
6.20022387847757e+02	5.41784456429641e-03,-2.97770307838519e-03	5.41898595078881e-03,-3.07606177785866e-03	5.41664319578766e-03,-2.99012618764905e-03	5.41628424304932e-03,-2.87782536593659e-03
6.30022587651753e+02	5.59795453781159e-03,-3.03043518530245e-03	5.59913304474360e-03,-3.13038569574953e-03	5.59671313728205e-03,-3.04303246969468e-03	5.59634291342302e-03,-2.92890248667682e-03
6.40022787455749e+02	5.78120580776492e-03,-3.08340385124862e-03	5.78242202928883e-03,-3.18494643930487e-03	5.77992367148930e-03,-3.09617401306869e-03	5.77954202302554e-03,-2.98021398475671e-03
6.50022987259745e+02	5.96761130454873e-03,-3.13661371321180e-03	5.96886583481788e-03,-3.23974865032910e-03	5.96628772570494e-03,-3.14955543086183e-03	5.96589450052739e-03,-3.03176445716076e-03
6.60023187063741e+02	6.15718420871120e-03,-3.19006945358965e-03	6.15847764187912e-03,-3.29479701606564e-03	6.15581847732478e-03,-3.20318138140798e-03	6.15541352472895e-03,-3.08355854601215e-03
6.70023386867737e+02	6.34993795332805e-03,-3.24377580120923e-03	6.35127088354764e-03,-3.35009627021737e-03	6.34852935621623e-03,-3.25705656930046e-03	6.34811252693226e-03,-3.13560093958688e-03
6.80023586671733e+02	6.54588622642743e-03,-3.29773753236339e-03	6.54725924784999e-03,-3.40565119398355e-03	6.54443404714281e-03,-3.31118574642487e-03	6.54400519336592e-03,-3.18789637334442e-03
6.90023786475729e+02	6.74504297346788e-03,-3.35195947186376e-03	6.74645668024208e-03,-3.46146661711357e-03	6.74354649224173e-03,-3.36557371300859e-03	6.74310546766322e-03,-3.24044963097502e-03
7.00023986279725e+02	6.94742239987062e-03,-3.40644649411154e-03	6.94887738614154e-03,-3.51754741897828e-03	6.94588089355594e-03,-3.42022531868789e-03	6.94542755339456e-03,-3.29326554546458e-03
7.10024186083722e+02	7.15303897360660e-03,-3.46120352418594e-03	7.15453583351457e-03,-3.57389852965912e-03	7.15145171562075e-03,-3.47514546359277e-03	7.15098591665448e-03,-3.34634900017715e-03
